ID = 10001
Name = "Spiritkeep"
Description = "This guildhall has twenty-three beds."
RentOffset = 2200
Area = 100
GuildHouse = true
Exit = [32265,32316,7]
Center = [32264,32314,7]
Fields = {[32258,32309,5],[32259,32309,5],[32270,32309,5],[32271,32309,5],[32258,32310,5],[32259,32310,5],[32270,32310,5],[32271,32310,5],[32258,32319,5],[32259,32319,5],[32270,32319,5],[32271,32319,5],[32258,32320,5],[32259,32320,5],[32270,32320,5],[32271,32320,5],[32258,32309,6],[32259,32309,6],[32270,32309,6],[32271,32309,6],[32258,32310,6],[32259,32310,6],[32260,32310,6],[32261,32310,6],[32268,32310,6],[32269,32310,6],[32270,32310,6],[32271,32310,6],[32259,32311,6],[32260,32311,6],[32261,32311,6],[32268,32311,6],[32269,32311,6],[32270,32311,6],[32259,32312,6],[32260,32312,6],[32261,32312,6],[32268,32312,6],[32269,32312,6],[32270,32312,6],[32259,32313,6],[32260,32313,6],[32261,32313,6],[32268,32313,6],[32269,32313,6],[32270,32313,6],[32259,32314,6],[32260,32314,6],[32261,32314,6],[32268,32314,6],[32269,32314,6],[32270,32314,6],[32259,32315,6],[32270,32315,6],[32259,32316,6],[32270,32316,6],[32259,32317,6],[32270,32317,6],[32259,32318,6],[32270,32318,6],[32258,32319,6],[32259,32319,6],[32270,32319,6],[32271,32319,6],[32258,32320,6],[32259,32320,6],[32260,32320,6],[32261,32320,6],[32262,32320,6],[32263,32320,6],[32264,32320,6],[32265,32320,6],[32266,32320,6],[32267,32320,6],[32268,32320,6],[32269,32320,6],[32270,32320,6],[32271,32320,6],[32258,32309,7],[32259,32309,7],[32270,32309,7],[32271,32309,7],[32258,32310,7],[32259,32310,7],[32260,32310,7],[32261,32310,7],[32263,32310,7],[32264,32310,7],[32265,32310,7],[32266,32310,7],[32268,32310,7],[32269,32310,7],[32270,32310,7],[32271,32310,7],[32259,32311,7],[32260,32311,7],[32261,32311,7],[32263,32311,7],[32264,32311,7],[32265,32311,7],[32266,32311,7],[32268,32311,7],[32259,32312,7],[32260,32312,7],[32261,32312,7],[32264,32312,7],[32265,32312,7],[32268,32312,7],[32269,32312,7],[32270,32312,7],[32259,32313,7],[32260,32313,7],[32261,32313,7],[32262,32313,7],[32263,32313,7],[32264,32313,7],[32265,32313,7],[32266,32313,7],[32267,32313,7],[32268,32313,7],[32269,32313,7],[32270,32313,7],[32259,32314,7],[32260,32314,7],[32261,32314,7],[32263,32314,7],[32264,32314,7],[32265,32314,7],[32266,32314,7],[32268,32314,7],[32269,32314,7],[32270,32314,7],[32259,32315,7],[32265,32315,7],[32270,32315,7],[32259,32316,7],[32270,32316,7],[32259,32317,7],[32270,32317,7],[32259,32318,7],[32270,32318,7],[32258,32319,7],[32259,32319,7],[32270,32319,7],[32271,32319,7],[32258,32320,7],[32259,32320,7],[32270,32320,7],[32271,32320,7],[32260,32309,8],[32261,32309,8],[32262,32309,8],[32264,32309,8],[32265,32309,8],[32266,32309,8],[32267,32309,8],[32268,32309,8],[32269,32309,8],[32270,32309,8],[32271,32309,8],[32260,32310,8],[32261,32310,8],[32262,32310,8],[32263,32310,8],[32264,32310,8],[32265,32310,8],[32269,32310,8],[32260,32311,8],[32261,32311,8],[32262,32311,8],[32264,32311,8],[32265,32311,8],[32267,32311,8],[32268,32311,8],[32269,32311,8],[32270,32311,8],[32271,32311,8],[32260,32312,8],[32261,32312,8],[32262,32312,8],[32264,32312,8],[32265,32312,8],[32267,32312,8],[32268,32312,8],[32269,32312,8],[32270,32312,8],[32271,32312,8],[32264,32313,8],[32265,32313,8],[32267,32313,8],[32268,32313,8],[32269,32313,8],[32270,32313,8],[32271,32313,8],[32260,32314,8],[32261,32314,8],[32262,32314,8],[32264,32314,8],[32265,32314,8],[32267,32314,8],[32268,32314,8],[32269,32314,8],[32270,32314,8],[32271,32314,8],[32260,32315,8],[32261,32315,8],[32262,32315,8],[32263,32315,8],[32264,32315,8],[32265,32315,8],[32267,32315,8],[32268,32315,8],[32269,32315,8],[32270,32315,8],[32271,32315,8],[32260,32316,8],[32261,32316,8],[32262,32316,8],[32264,32316,8],[32265,32316,8],[32267,32316,8],[32268,32316,8],[32269,32316,8],[32270,32316,8],[32271,32316,8],[32260,32317,8],[32261,32317,8],[32262,32317,8],[32264,32317,8],[32265,32317,8],[32267,32317,8],[32268,32317,8],[32269,32317,8],[32270,32317,8],[32271,32317,8],[32260,32318,8],[32261,32318,8],[32262,32318,8],[32264,32318,8],[32265,32318,8],[32267,32318,8],[32268,32318,8],[32269,32318,8],[32270,32318,8],[32271,32318,8],[32258,32308,9],[32259,32308,9],[32260,32308,9],[32261,32308,9],[32263,32308,9],[32264,32308,9],[32265,32308,9],[32267,32308,9],[32268,32308,9],[32269,32308,9],[32270,32308,9],[32271,32308,9],[32272,32308,9],[32258,32309,9],[32259,32309,9],[32260,32309,9],[32261,32309,9],[32262,32309,9],[32263,32309,9],[32264,32309,9],[32265,32309,9],[32266,32309,9],[32267,32309,9],[32268,32309,9],[32269,32309,9],[32270,32309,9],[32271,32309,9],[32272,32309,9],[32258,32310,9],[32259,32310,9],[32260,32310,9],[32261,32310,9],[32263,32310,9],[32264,32310,9],[32265,32310,9],[32267,32310,9],[32268,32310,9],[32269,32310,9],[32270,32310,9],[32271,32310,9],[32272,32310,9],[32263,32311,9],[32264,32311,9],[32265,32311,9],[32258,32312,9],[32259,32312,9],[32260,32312,9],[32261,32312,9],[32263,32312,9],[32264,32312,9],[32265,32312,9],[32267,32312,9],[32268,32312,9],[32269,32312,9],[32270,32312,9],[32271,32312,9],[32272,32312,9],[32258,32313,9],[32259,32313,9],[32260,32313,9],[32261,32313,9],[32262,32313,9],[32263,32313,9],[32264,32313,9],[32265,32313,9],[32267,32313,9],[32268,32313,9],[32269,32313,9],[32270,32313,9],[32271,32313,9],[32272,32313,9],[32258,32314,9],[32259,32314,9],[32260,32314,9],[32261,32314,9],[32263,32314,9],[32264,32314,9],[32265,32314,9],[32266,32314,9],[32267,32314,9],[32268,32314,9],[32269,32314,9],[32270,32314,9],[32271,32314,9],[32272,32314,9],[32263,32315,9],[32264,32315,9],[32265,32315,9],[32267,32315,9],[32268,32315,9],[32269,32315,9],[32270,32315,9],[32271,32315,9],[32272,32315,9],[32258,32316,9],[32259,32316,9],[32260,32316,9],[32261,32316,9],[32263,32316,9],[32264,32316,9],[32267,32316,9],[32268,32316,9],[32269,32316,9],[32270,32316,9],[32271,32316,9],[32272,32316,9],[32258,32317,9],[32259,32317,9],[32260,32317,9],[32261,32317,9],[32262,32317,9],[32263,32317,9],[32264,32317,9],[32265,32317,9],[32267,32317,9],[32268,32317,9],[32269,32317,9],[32270,32317,9],[32271,32317,9],[32272,32317,9],[32258,32318,9],[32259,32318,9],[32260,32318,9],[32261,32318,9],[32263,32318,9],[32264,32318,9],[32265,32318,9],[32267,32318,9],[32268,32318,9],[32269,32318,9],[32270,32318,9],[32271,32318,9],[32272,32318,9]}

